filename,recording,site,device,year,month,day,hour,min,species,birdcode,commonname,songtype,x1,x2,y1,y2,score,vote,type
s2lam016_180707_2018-07-11_05-50.wav,s2lam16_180707_SeaRanch-2018-07-11_05-50.flac,s2lam016_180707,am,2018,7,11,5,50,Junco hyemalis,DEJU,Dark-eyed Junco,Mechanical Song,0.011609977324263,2.16526077097506,2583.984375,6546.09375,0.318489243426185,present,Expert
s2llg001_180502_2018-05-05_06-20.wav,s2l01_180502_pepperwood_500-2018-05-05_06-20.flac,s2llg001_180502,lg,2018,5,5,6,20,Junco hyemalis,DEJU,Dark-eyed Junco,Mechanical Song,0.0174149659863946,2.17106575963719,2583.984375,6546.09375,0.356172108615354,present,Expert
s2lam007_190530_2019-05-31_08-00.wav,s2lam07_190530_053250019-2019-05-31_08-00.flac,s2lam007_190530,am,2019,5,31,8,0,Junco hyemalis,DEJU,Dark-eyed Junco,Mechanical Song,0.0213333333333333,2.10133333333333,2250,7218.75,0.400274147381181,present,Expert
s2lam023_190521_2019-05-28_07-40.wav,s2lam23_190521_110140003-2019-05-28_07-40.flac,s2lam023_190521,am,2019,5,28,7,40,Vermivora celata,OCWA,Orange-crowned Warbler,Common Song,0.0266666666666667,1.88266666666667,2906.25,6656.25,0.475538489029186,present,Expert
s2llg006_180624_2018-06-26_06-10.wav,s2l06_180624_pepperwood_1422-2018-06-26_06-10.flac,s2llg006_180624,lg,2018,6,26,6,10,Junco hyemalis,DEJU,Dark-eyed Junco,Mechanical Song,0.0290249433106576,2.18267573696145,2583.984375,6546.09375,0.41391736904471,present,Expert
s2llg009_170430_2017-05-02_09-50.wav,s2l09_170430_pepperwood_1421-2017-05-02_09-50.flac,s2llg009_170430,lg,2017,5,2,9,50,Junco hyemalis,DEJU,Dark-eyed Junco,Mechanical Song,0.0290249433106576,2.18267573696145,2583.984375,6546.09375,0.369969490698475,present,Expert
s2lam017_180707_2018-07-08_07-50.wav,s2lam17_180707_SeaRanch-2018-07-08_07-50.flac,s2lam017_180707,am,2018,7,8,7,50,Empidonax difficilis,PSFL,Pacific-slope Flycatcher,Common Song,0.0290249433106576,0.406349206349206,3875.9765625,7235.15625,0.331732851856846,present,Consensus
s2lam027_190421_2019-04-24_06-50.wav,s2lam27_190421_jacklondon-2019-04-24_06-50.flac,s2lam027_190421,am,2019,4,24,6,50,Junco hyemalis,DEJU,Dark-eyed Junco,Mechanical Song,0.032,2.112,2250,7218.75,0.489740303717382,present,Expert
s2llg010_170415_2017-04-16_06-20.wav,S2L10_170415_028150053-2017-04-16_06-20.flac,s2llg010_170415,lg,2017,4,16,6,20,Junco hyemalis,DEJU,Dark-eyed Junco,Mechanical Song,0.0348299319727891,2.18848072562358,2583.984375,6546.09375,0.420265428405412,present,Expert
s2lam023_190521_2019-05-27_06-30.wav,s2lam23_190521_110140003-2019-05-27_06-30.flac,s2lam023_190521,am,2019,5,27,6,30,Vermivora celata,OCWA,Orange-crowned Warbler,Common Song,0.0373333333333333,1.89333333333333,2906.25,6656.25,0.480842065150838,present,Consensus
